T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
400,Jordan,2017,Percentage of individuals using the internet,66.7903,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
398,Kazakhstan,2000,Percentage of individuals using the internet,0.6686,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
398,Kazakhstan,2005,Percentage of individuals using the internet,2.9617,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
398,Kazakhstan,2010,Percentage of individuals using the internet,31.6000,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
398,Kazakhstan,2015,Percentage of individuals using the internet,70.8299,Population aged 6 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
398,Kazakhstan,2016,Percentage of individuals using the internet,74.5877,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
398,Kazakhstan,2017,Percentage of individuals using the internet,76.4267,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
398,Kazakhstan,2018,Percentage of individuals using the internet,78.9039,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
404,Kenya,2000,Percentage of individuals using the internet,0.3181,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
404,Kenya,2005,Percentage of individuals using the internet,3.1019,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
404,Kenya,2010,Percentage of individuals using the internet,7.2000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
404,Kenya,2015,Percentage of individuals using the internet,16.5879,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
404,Kenya,2016,Percentage of individuals using the internet,16.6000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
404,Kenya,2017,Percentage of individuals using the internet,17.8271,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
296,Kiribati,2000,Percentage of individuals using the internet,1.7852,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
296,Kiribati,2005,Percentage of individuals using the internet,4.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
296,Kiribati,2010,Percentage of individuals using the internet,9.0700,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
296,Kiribati,2015,Percentage of individuals using the internet,12.9975,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
296,Kiribati,2016,Percentage of individuals using the internet,13.7000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
296,Kiribati,2017,Percentage of individuals using the internet,14.5818,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
414,Kuwait,2000,Percentage of individuals using the internet,6.7314,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
414,Kuwait,2005,Percentage of individuals using the internet,25.9261,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
414,Kuwait,2010,Percentage of individuals using the internet,61.4000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
414,Kuwait,2015,Percentage of individuals using the internet,72.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
414,Kuwait,2016,Percentage of individuals using the internet,78.3674,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
414,Kuwait,2017,Percentage of individuals using the internet,100.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
414,Kuwait,2018,Percentage of individuals using the internet,99.5988,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
417,Kyrgyzstan,2000,Percentage of individuals using the internet,1.0414,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
417,Kyrgyzstan,2005,Percentage of individuals using the internet,10.5338,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
417,Kyrgyzstan,2010,Percentage of individuals using the internet,16.3000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
417,Kyrgyzstan,2015,Percentage of individuals using the internet,30.2470,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
417,Kyrgyzstan,2016,Percentage of individuals using the internet,37.0000,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
417,Kyrgyzstan,2017,Percentage of individuals using the internet,38.0000,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
418,Lao People's Dem. Rep.,2000,Percentage of individuals using the internet,0.1110,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
418,Lao People's Dem. Rep.,2005,Percentage of individuals using the internet,0.8504,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
418,Lao People's Dem. Rep.,2010,Percentage of individuals using the internet,7.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
418,Lao People's Dem. Rep.,2015,Percentage of individuals using the internet,18.2000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
418,Lao People's Dem. Rep.,2016,Percentage of individuals using the internet,21.8700,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
418,Lao People's Dem. Rep.,2017,Percentage of individuals using the internet,25.5104,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
428,Latvia,2000,Percentage of individuals using the internet,6.3191,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
428,Latvia,2005,Percentage of individuals using the internet,46.0000,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
428,Latvia,2010,Percentage of individuals using the internet,68.4200,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
428,Latvia,2015,Percentage of individuals using the internet,79.2006,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
428,Latvia,2016,Percentage of individuals using the internet,79.8421,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
428,Latvia,2017,Percentage of individuals using the internet,80.1141,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
428,Latvia,2018,Percentage of individuals using the internet,83.5772,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
422,Lebanon,2000,Percentage of individuals using the internet,7.9527,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
422,Lebanon,2005,Percentage of individuals using the internet,10.1400,Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
422,Lebanon,2010,Percentage of individuals using the internet,43.6800,Estimate.;Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
422,Lebanon,2015,Percentage of individuals using the internet,74.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
422,Lebanon,2016,Percentage of individuals using the internet,76.1100,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
422,Lebanon,2017,Percentage of individuals using the internet,78.1808,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
426,Lesotho,2000,Percentage of individuals using the internet,0.2118,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
426,Lesotho,2005,Percentage of individuals using the internet,2.5802,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
426,Lesotho,2010,Percentage of individuals using the internet,3.8600,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
426,Lesotho,2015,Percentage of individuals using the internet,25.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
426,Lesotho,2016,Percentage of individuals using the internet,27.3600,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
426,Lesotho,2017,Percentage of individuals using the internet,29.0000,Population aged 18 years and over.;At least once a month.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
430,Liberia,2000,Percentage of individuals using the internet,0.0177,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
430,Liberia,2010,Percentage of individuals using the internet,2.3000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
430,Liberia,2015,Percentage of individuals using the internet,33.0000,Population aged 18 years and over.;Users in the last month.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
430,Liberia,2016,Percentage of individuals using the internet,7.3191,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
430,Liberia,2017,Percentage of individuals using the internet,7.9845,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
434,Libya,2000,Percentage of individuals using the internet,0.1870,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
434,Libya,2005,Percentage of individuals using the internet,3.9178,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
434,Libya,2010,Percentage of individuals using the internet,14.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
434,Libya,2015,Percentage of individuals using the internet,19.0161,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
434,Libya,2016,Percentage of individuals using the internet,20.2722,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
434,Libya,2017,Percentage of individuals using the internet,21.7589,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
438,Liechtenstein,2000,Percentage of individuals using the internet,36.5152,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
438,Liechtenstein,2005,Percentage of individuals using the internet,63.3714,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
438,Liechtenstein,2010,Percentage of individuals using the internet,80.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
438,Liechtenstein,2015,Percentage of individuals using the internet,96.6412,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
438,Liechtenstein,2016,Percentage of individuals using the internet,98.0939,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
438,Liechtenstein,2017,Percentage of individuals using the internet,98.1000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
440,Lithuania,2000,Percentage of individuals using the internet,6.4271,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
440,Lithuania,2005,Percentage of individuals using the internet,36.2200,Population aged 16 to 74 years.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
440,Lithuania,2010,Percentage of individuals using the internet,62.1200,Population aged 16 to 74 years.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
440,Lithuania,2015,Percentage of individuals using the internet,71.3780,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
440,Lithuania,2016,Percentage of individuals using the internet,74.3766,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
440,Lithuania,2017,Percentage of individuals using the internet,77.6153,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
440,Lithuania,2018,Percentage of individuals using the internet,79.7226,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
442,Luxembourg,2000,Percentage of individuals using the internet,22.8873,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
442,Luxembourg,2005,Percentage of individuals using the internet,70.0000,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
442,Luxembourg,2010,Percentage of individuals using the internet,90.6200,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
442,Luxembourg,2015,Percentage of individuals using the internet,96.3800,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
442,Luxembourg,2016,Percentage of individuals using the internet,98.1367,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
442,Luxembourg,2017,Percentage of individuals using the internet,97.3630,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
442,Luxembourg,2018,Percentage of individuals using the internet,97.0613,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
450,Madagascar,2000,Percentage of individuals using the internet,0.1964,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
450,Madagascar,2005,Percentage of individuals using the internet,0.5677,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
450,Madagascar,2010,Percentage of individuals using the internet,1.7000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
450,Madagascar,2015,Percentage of individuals using the internet,4.1740,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
450,Madagascar,2016,Percentage of individuals using the internet,4.7137,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
450,Madagascar,2017,Percentage of individuals using the internet,9.8000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
454,Malawi,2000,Percentage of individuals using the internet,0.1268,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
454,Malawi,2005,Percentage of individuals using the internet,0.3845,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
454,Malawi,2010,Percentage of individuals using the internet,2.2600,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
454,Malawi,2015,Percentage of individuals using the internet,5.3000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
454,Malawi,2016,Percentage of individuals using the internet,11.4700,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
454,Malawi,2017,Percentage of individuals using the internet,13.7822,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
458,Malaysia,2000,Percentage of individuals using the internet,21.3847,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
458,Malaysia,2005,Percentage of individuals using the internet,48.6292,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
458,Malaysia,2010,Percentage of individuals using the internet,56.3000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
458,Malaysia,2015,Percentage of individuals using the internet,71.0641,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
458,Malaysia,2016,Percentage of individuals using the internet,78.7883,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
458,Malaysia,2017,Percentage of individuals using the internet,80.1405,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
458,Malaysia,2018,Percentage of individuals using the internet,81.2010,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
462,Maldives,2000,Percentage of individuals using the internet,2.2039,Estimate.;Mobile internet users are not included.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
462,Maldives,2005,Percentage of individuals using the internet,6.8696,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
462,Maldives,2010,Percentage of individuals using the internet,26.5300,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
462,Maldives,2015,Percentage of individuals using the internet,54.4620,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
462,Maldives,2016,Percentage of individuals using the internet,59.0926,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
462,Maldives,2017,Percentage of individuals using the internet,63.1857,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
466,Mali,2000,Percentage of individuals using the internet,0.1425,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
466,Mali,2005,Percentage of individuals using the internet,0.5071,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
466,Mali,2010,Percentage of individuals using the internet,2.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
466,Mali,2015,Percentage of individuals using the internet,10.3300,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
466,Mali,2016,Percentage of individuals using the internet,11.1122,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
466,Mali,2017,Percentage of individuals using the internet,13.0000,Population aged 18 years and over.;At least once a month.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
470,Malta,2000,Percentage of individuals using the internet,13.1137,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
470,Malta,2005,Percentage of individuals using the internet,41.2400,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
470,Malta,2010,Percentage of individuals using the internet,63.0000,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
470,Malta,2015,Percentage of individuals using the internet,75.9600,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
470,Malta,2016,Percentage of individuals using the internet,78.0751,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
470,Malta,2017,Percentage of individuals using the internet,81.0119,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
470,Malta,2018,Percentage of individuals using the internet,81.6580,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
584,Marshall Islands,2000,Percentage of individuals using the internet,1.5343,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
584,Marshall Islands,2005,Percentage of individuals using the internet,3.8787,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
584,Marshall Islands,2010,Percentage of individuals using the internet,7.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
584,Marshall Islands,2015,Percentage of individuals using the internet,19.2824,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
584,Marshall Islands,2016,Percentage of individuals using the internet,29.7878,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
584,Marshall Islands,2017,Percentage of individuals using the internet,38.7012,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
478,Mauritania,2000,Percentage of individuals using the internet,0.1920,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
478,Mauritania,2005,Percentage of individuals using the internet,0.6700,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
478,Mauritania,2010,Percentage of individuals using the internet,4.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
478,Mauritania,2015,Percentage of individuals using the internet,15.1991,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
478,Mauritania,2016,Percentage of individuals using the internet,18.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
478,Mauritania,2017,Percentage of individuals using the internet,20.8010,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
480,Mauritius,2000,Percentage of individuals using the internet,7.2815,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
480,Mauritius,2005,Percentage of individuals using the internet,15.1722,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
480,Mauritius,2010,Percentage of individuals using the internet,28.3300,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
480,Mauritius,2015,Percentage of individuals using the internet,50.1393,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
480,Mauritius,2016,Percentage of individuals using the internet,52.1913,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
480,Mauritius,2017,Percentage of individuals using the internet,55.4032,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
480,Mauritius,2018,Percentage of individuals using the internet,58.5962,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
175,Mayotte,2000,Percentage of individuals using the internet,1.2115,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
484,Mexico,2000,Percentage of individuals using the internet,5.0814,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
484,Mexico,2005,Percentage of individuals using the internet,17.2100,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
484,Mexico,2010,Percentage of individuals using the internet,31.0500,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
484,Mexico,2015,Percentage of individuals using the internet,57.4310,Break in the time series.;Population aged 6 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
484,Mexico,2016,Percentage of individuals using the internet,59.5404,Population aged 6 years and over.;Data referring to the month of May 2016.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
484,Mexico,2017,Percentage of individuals using the internet,63.8522,Population aged 6 years and over.;Data referring to the month of May 2017.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
484,Mexico,2018,Percentage of individuals using the internet,65.7726,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
583,Micronesia (Fed. States of),2000,Percentage of individuals using the internet,3.7349,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
583,Micronesia (Fed. States of),2005,Percentage of individuals using the internet,11.8814,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
583,Micronesia (Fed. States of),2010,Percentage of individuals using the internet,20.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
583,Micronesia (Fed. States of),2015,Percentage of individuals using the internet,31.5011,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
583,Micronesia (Fed. States of),2016,Percentage of individuals using the internet,33.3522,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
583,Micronesia (Fed. States of),2017,Percentage of individuals using the internet,35.3041,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
492,Monaco,2000,Percentage of individuals using the internet,42.1849,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
492,Monaco,2005,Percentage of individuals using the internet,55.4648,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
492,Monaco,2010,Percentage of individuals using the internet,75.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
492,Monaco,2015,Percentage of individuals using the internet,93.3633,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
492,Monaco,2016,Percentage of individuals using the internet,95.2082,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
492,Monaco,2017,Percentage of individuals using the internet,97.0530,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
496,Mongolia,2000,Percentage of individuals using the internet,1.2557,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
496,Mongolia,2010,Percentage of individuals using the internet,10.2000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
496,Mongolia,2015,Percentage of individuals using the internet,22.5000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
496,Mongolia,2016,Percentage of individuals using the internet,22.2658,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
496,Mongolia,2017,Percentage of individuals using the internet,23.7143,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
496,Mongolia,2018,Percentage of individuals using the internet,47.1609,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
499,Montenegro,2005,Percentage of individuals using the internet,27.1000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
499,Montenegro,2010,Percentage of individuals using the internet,37.5000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
499,Montenegro,2015,Percentage of individuals using the internet,68.1196,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
499,Montenegro,2016,Percentage of individuals using the internet,69.8816,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
499,Montenegro,2017,Percentage of individuals using the internet,71.2723,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
499,Montenegro,2018,Percentage of individuals using the internet,71.5171,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
500,Montserrat,2010,Percentage of individuals using the internet,35.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
504,Morocco,2000,Percentage of individuals using the internet,0.6938,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
504,Morocco,2005,Percentage of individuals using the internet,15.0844,Users in the last month.;Population aged 12 to 65 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
504,Morocco,2010,Percentage of individuals using the internet,52.0000,Population aged 6 to 74 years.;Living in electrified areas.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
504,Morocco,2015,Percentage of individuals using the internet,57.0800,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
504,Morocco,2016,Percentage of individuals using the internet,58.2712,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
504,Morocco,2017,Percentage of individuals using the internet,61.7622,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
504,Morocco,2018,Percentage of individuals using the internet,64.8039,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
508,Mozambique,2000,Percentage of individuals using the internet,0.1096,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
508,Mozambique,2005,Percentage of individuals using the internet,0.8544,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
508,Mozambique,2010,Percentage of individuals using the internet,4.1700,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
508,Mozambique,2015,Percentage of individuals using the internet,16.9335,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
508,Mozambique,2016,Percentage of individuals using the internet,17.5212,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
508,Mozambique,2017,Percentage of individuals using the internet,10.0000,Population aged 15 to 65 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
104,Myanmar,2005,Percentage of individuals using the internet,0.0652,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
104,Myanmar,2010,Percentage of individuals using the internet,0.2500,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
104,Myanmar,2015,Percentage of individuals using the internet,21.7258,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
104,Myanmar,2016,Percentage of individuals using the internet,25.0733,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
