T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
62,South-central Asia,2015,Percentage of individuals using the internet,18.4207,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2016,Percentage of individuals using the internet,22.5935,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2017,Percentage of individuals using the internet,32.2654,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
62,South-central Asia,2018,Percentage of individuals using the internet,34.1241,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2000,Percentage of individuals using the internet,2.3838,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2005,Percentage of individuals using the internet,8.6736,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2010,Percentage of individuals using the internet,18.8327,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2015,Percentage of individuals using the internet,31.9145,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2016,Percentage of individuals using the internet,39.9130,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2017,Percentage of individuals using the internet,45.3487,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
35,South-eastern Asia,2018,Percentage of individuals using the internet,48.1953,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2000,Percentage of individuals using the internet,0.4562,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2005,Percentage of individuals using the internet,2.7991,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2010,Percentage of individuals using the internet,7.5936,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2015,Percentage of individuals using the internet,17.4736,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2016,Percentage of individuals using the internet,21.6581,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2017,Percentage of individuals using the internet,31.5611,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
34,Southern Asia,2018,Percentage of individuals using the internet,33.4701,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2000,Percentage of individuals using the internet,3.6168,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2005,Percentage of individuals using the internet,11.1098,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2010,Percentage of individuals using the internet,32.6611,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2015,Percentage of individuals using the internet,56.5372,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2016,Percentage of individuals using the internet,54.4787,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2017,Percentage of individuals using the internet,62.6295,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
145,Western Asia,2018,Percentage of individuals using the internet,67.6286,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2000,Percentage of individuals using the internet,15.2377,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2005,Percentage of individuals using the internet,39.7892,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2010,Percentage of individuals using the internet,61.3115,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2015,Percentage of individuals using the internet,74.2657,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2016,Percentage of individuals using the internet,76.3263,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2017,Percentage of individuals using the internet,78.4909,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
150,Europe,2018,Percentage of individuals using the internet,82.0171,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2000,Percentage of individuals using the internet,34.7190,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2005,Percentage of individuals using the internet,46.8856,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2010,Percentage of individuals using the internet,57.3387,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2015,Percentage of individuals using the internet,65.7064,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2016,Percentage of individuals using the internet,67.3884,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
9,Oceania,2017,Percentage of individuals using the internet,68.1514,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2000,Percentage of individuals using the internet,46.8614,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2005,Percentage of individuals using the internet,62.9524,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7348,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2015,Percentage of individuals using the internet,85.1525,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2016,Percentage of individuals using the internet,86.8509,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2017,Percentage of individuals using the internet,87.2300,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
53,Australia and New Zealand,2018,Percentage of individuals using the internet,86.9220,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2005,Percentage of individuals using the internet,1.2241,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2010,Percentage of individuals using the internet,4.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2015,Percentage of individuals using the internet,8.2600,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2016,Percentage of individuals using the internet,11.2000,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
4,Afghanistan,2017,Percentage of individuals using the internet,13.5000,Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2000,Percentage of individuals using the internet,0.1141,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2005,Percentage of individuals using the internet,6.0439,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2010,Percentage of individuals using the internet,45.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2015,Percentage of individuals using the internet,63.2529,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2016,Percentage of individuals using the internet,66.3634,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
8,Albania,2017,Percentage of individuals using the internet,71.8470,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2000,Percentage of individuals using the internet,0.4917,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2005,Percentage of individuals using the internet,5.8439,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2010,Percentage of individuals using the internet,12.5000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2015,Percentage of individuals using the internet,38.2000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2016,Percentage of individuals using the internet,42.9455,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2017,Percentage of individuals using the internet,47.6911,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
12,Algeria,2018,Percentage of individuals using the internet,49.0385,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2000,Percentage of individuals using the internet,10.5388,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2005,Percentage of individuals using the internet,37.6058,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2010,Percentage of individuals using the internet,81.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2015,Percentage of individuals using the internet,96.9100,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2016,Percentage of individuals using the internet,97.9306,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
20,Andorra,2017,Percentage of individuals using the internet,91.5675,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2000,Percentage of individuals using the internet,0.1050,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2005,Percentage of individuals using the internet,1.1434,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2010,Percentage of individuals using the internet,2.8000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2015,Percentage of individuals using the internet,12.4000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2016,Percentage of individuals using the internet,13.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
24,Angola,2017,Percentage of individuals using the internet,14.3391,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2000,Percentage of individuals using the internet,22.4054,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2005,Percentage of individuals using the internet,29.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2010,Percentage of individuals using the internet,49.6000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2015,Percentage of individuals using the internet,75.9800,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
660,Anguilla,2016,Percentage of individuals using the internet,81.5700,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
